name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Gustavo A Madero, CDMX, México",2022-10-07,22,12.7,16.5,22,12.7,16.5,10.6,70.1,0.064,100,4.17,rain,0,0,25.2,18.4,350.3,1023.2,85.2,11.9,230.7,19.9,10,,2022-10-07T07:28:39,2022-10-07T19:19:34,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2022-10-08,22.1,13,15.9,22.1,13,15.9,10.3,70.8,5.3,100,4.17,rain,0,0,30.6,24.1,352.7,1023.5,82.4,12.3,178.5,15.5,7,,2022-10-08T07:28:55,2022-10-08T19:18:44,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,MMMX,MMTO,76675099999"
"Gustavo A Madero, CDMX, México",2022-10-09,28.1,9,15.8,28.1,7.9,15.8,10.7,72.6,1.5,100,41.67,rain,0,0,37.8,22.8,331.4,1023.9,87.9,15,164.1,14.1,6,,2022-10-09T07:29:11,2022-10-09T19:17:55,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,MMTO,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2022-10-10,27,11.1,15.6,26.9,11.1,15.6,9.5,68.6,0.5,100,20.83,rain,0,0,36,31.7,349.8,1022.2,78.5,15.7,164.1,14.1,6,,2022-10-10T07:29:27,2022-10-10T19:17:07,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMSM,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2022-10-11,20.9,11,16.3,20.9,11,16.3,10.5,69.7,0.5,100,8.33,rain,0,0,31,18.9,328.8,1020.4,89,14.4,176.2,15.1,7,,2022-10-11T07:29:44,2022-10-11T19:16:19,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2022-10-12,28.1,11.5,18.7,28.6,11.5,18.7,12.6,70.3,0.2,100,8.33,rain,0,0,34.9,22.3,349.2,1018.5,71.7,12.7,224.9,19.4,7,,2022-10-12T07:30:01,2022-10-12T19:15:31,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMMX,MMTO,76675099999"
"Gustavo A Madero, CDMX, México",2022-10-13,28,9.3,18,28,8.7,17.9,8.7,58.5,0,0,0,,0,0,32.8,16.2,6.5,1017.9,45.7,14.9,277.8,24,10,,2022-10-13T07:30:18,2022-10-13T19:14:45,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2022-10-14,28.1,8.1,17.7,28.6,7.5,17.6,7.8,56.4,0,0,0,,0,0,28.1,22.3,1.9,1018.8,47,14.3,277.7,23.8,10,,2022-10-14T07:30:36,2022-10-14T19:13:58,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMTO,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2022-10-15,25.3,10.5,17.9,25.3,10.5,17.9,8.8,60.9,0,0,0,,0,0,31.3,14.8,17,1019.1,30.8,11.6,278.3,23.9,10,,2022-10-15T07:30:55,2022-10-15T19:13:13,0.69,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"76726099999,76679399999,MMCB,76680099999,remote,MMTO,76675099999"
"Gustavo A Madero, CDMX, México",2022-10-16,30,11.9,19,29.4,11.9,19,12.1,67.3,1.9,100,12.5,rain,0,0,19.8,21.9,30.4,1020.3,65.3,10.5,257.4,22.1,9,,2022-10-16T07:31:13,2022-10-16T19:12:28,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2022-10-17,25.9,12,18.8,25.9,12,18.8,13.1,72.3,0.1,100,4.17,rain,0,0,21.6,22.3,302.8,1018.4,90.6,9.4,209.7,18.1,7,,2022-10-17T07:31:33,2022-10-17T19:11:44,0.75,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2022-10-18,20,12,15.5,20,12,15.5,12.2,82.2,1.492,100,12.5,rain,0,0,34.6,25.8,349.8,1021.3,98.6,10.7,99.5,8.7,4,,2022-10-18T07:31:52,2022-10-18T19:11:01,0.78,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2022-10-19,19,13.1,14.9,19,13.1,14.9,9.6,70.6,0.044,100,4.17,rain,0,0,29.5,20.5,351,1021.9,95.5,15.4,107.3,9.4,4,,2022-10-19T07:32:13,2022-10-19T19:10:18,0.82,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2022-10-20,22.6,9,15,22.6,9,15,9.1,69.6,4.9,100,20.83,rain,0,0,16.9,22.3,53,1021,91.4,12.6,206.2,17.7,8,,2022-10-20T07:32:33,2022-10-20T19:09:36,0.85,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2022-10-21,21.8,11.7,16.7,21.8,11.7,16.7,9.5,64.2,0,0,0,,0,0,20.2,18.2,328.1,1020.5,93.5,12.2,183.7,15.9,8,,2022-10-21T07:32:55,2022-10-21T19:08:55,0.88,Overcast,Cloudy skies throughout the day.,cloudy,"76675399999,76679399999,76680099999,MMCB,remote,MMTO,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2022-10-22,27,11,18.2,27.6,11,18.2,11.8,68.5,0,0,0,,0,0,18.4,13,68.7,1018.4,64.7,9.4,228.7,19.6,8,,2022-10-22T07:33:16,2022-10-22T19:08:15,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76679399999,76680099999,MMCB,remote,MMMX,MMTO,76675099999"
"Gustavo A Madero, CDMX, México",2022-10-23,26.3,14.6,19.7,26.3,14.6,19.7,11.7,62.2,0.255,100,4.17,rain,0,0,22.7,22.3,103.5,1019.3,71.7,11.9,241.2,20.8,10,,2022-10-23T07:33:38,2022-10-23T19:07:36,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMTO,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2022-10-24,28,15,20.4,29.2,15,20.5,13.9,69.2,0,0,0,,0,0,19.1,18.2,154.2,1015.7,64.4,7.7,235.9,20.3,9,,2022-10-24T07:34:01,2022-10-24T19:06:58,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2022-10-25,28,12,19.2,28.8,12,19.2,12.6,69.8,0.4,100,4.17,rain,0,0,24.5,18.4,22.4,1018.8,42.5,7.2,238.7,20.5,9,,2022-10-25T07:34:25,2022-10-25T19:06:20,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMTO,MMMX,76675099999"
